age,sex,qx,lx,dx,ex
0,Female,0.0050404188223183155,100000.0,504.0418701171875,79.32807159423828
1,Female,0.00038860965287312865,99495.9609375,38.66509246826172,78.72932434082031
2,Female,0.0002335388562642038,99457.296875,23.227144241333008,77.7597427368164
3,Female,0.00015820088447071612,99434.0703125,15.730557441711426,76.77778625488281
4,Female,0.00014692246622871608,99418.3359375,14.606786727905273,75.78985595703125
5,Female,0.00012407802569214255,99403.7265625,12.333818435668945,74.8009262084961
6,Female,0.00010946136899292469,99391.390625,10.879517555236816,73.81014251708984
7,Female,9.997986489906907e-05,99380.5078125,9.936049461364746,72.81817626953125
8,Female,9.446238982491195e-05,99370.5703125,9.386781692504883,71.82540893554688
9,Female,9.29005109355785e-05,99361.1796875,9.230704307556152,70.83214569091797
10,Female,9.64411738095805e-05,99351.9453125,9.581618309020996,69.83868408203125
11,Female,0.0001072037557605654,99342.3671875,10.649874687194824,68.84536743164062
12,Female,0.000127751991385594,99331.71875,12.689825057983398,67.85269927978516
13,Female,0.00015957391588017344,99319.03125,15.848726272583008,66.86129760742188
14,Female,0.00020073178166057914,99303.1796875,19.933303833007812,65.87189483642578
15,Female,0.00024748616851866245,99283.25,24.571231842041016,64.885009765625
16,Female,0.0002969596243929118,99258.6796875,29.475820541381836,63.90095138549805
17,Female,0.0003493443946354091,99229.203125,34.665164947509766,62.9197883605957
18,Female,0.00040348529000766575,99194.5390625,40.023536682128906,61.94160079956055
19,Female,0.0004591793694999069,99154.515625,45.52970886230469,60.966400146484375
20,Female,0.0005201785825192928,99108.984375,51.55437088012695,59.994178771972656
21,Female,0.0005835910560563207,99057.4296875,57.80902862548828,59.025142669677734
22,Female,0.0006414749659597874,98999.6171875,63.505775451660156,58.059322357177734
23,Female,0.0006902317982167006,98936.109375,68.28884887695312,57.09626770019531
24,Female,0.0007331002852879465,98867.8203125,72.48002624511719,56.13535690307617
25,Female,0.000773690000642091,98795.34375,76.43696594238281,55.17617416381836
26,Female,0.0008195728296414018,98718.90625,80.90733337402344,54.218509674072266
27,Female,0.0008758690091781318,98638.0,86.39396667480469,53.262569427490234
28,Female,0.0009461396839469671,98551.609375,93.24359130859375,52.30882263183594
29,Female,0.0010264342417940497,98458.3671875,101.06104278564453,51.35788345336914
30,Female,0.0011109196348115802,98357.3046875,109.26705932617188,50.4101448059082
31,Female,0.0011938654351979494,98248.0390625,117.29493713378906,49.46564865112305
32,Female,0.0012750470777973533,98130.7421875,125.1213150024414,48.52417755126953
33,Female,0.0013537678169086576,98005.6171875,132.67684936523438,47.58549118041992
34,Female,0.0014331226702779531,97872.9375,140.26393127441406,46.64932632446289
35,Female,0.0015180993359535933,97732.671875,148.36790466308594,45.71555709838867
36,Female,0.001610698876902461,97584.3046875,157.17892456054688,44.7843017578125
37,Female,0.0017091871704906225,97427.125,166.5211944580078,43.85574722290039
38,Female,0.0018135621212422848,97260.6015625,176.3881378173828,42.92997741699219
39,Female,0.0019245431758463383,97084.2109375,186.84275817871094,42.0070686340332
40,Female,0.002048463560640812,96897.3671875,198.49072265625,41.08710479736328
41,Female,0.002183071104809642,96698.875,211.10052490234375,40.170413970947266
42,Female,0.0023209145292639732,96487.7734375,223.93988037109375,39.25720977783203
43,Female,0.0024612669367343187,96263.8359375,236.93099975585938,38.34737014770508
44,Female,0.002611197531223297,96026.90625,250.74522399902344,37.44075012207031
45,Female,0.0027838246896862984,95776.1640625,266.6240539550781,36.5374641418457
46,Female,0.0029840953648090363,95509.5390625,285.00958251953125,35.638065338134766
47,Female,0.003203482134267688,95224.53125,305.0500793457031,34.74323654174805
48,Female,0.0034355020616203547,94919.484375,326.0960693359375,33.8532829284668
49,Female,0.0036798054352402687,94593.390625,348.08526611328125,32.96826171875
50,Female,0.0039350236766040325,94245.3046875,370.8575134277344,32.08818054199219
51,Female,0.00421734107658267,93874.4453125,395.9005432128906,31.21297264099121
52,Female,0.004544211085885763,93478.546875,424.7862548828125,30.343048095703125
53,Female,0.004927776288241148,93053.7578125,458.548095703125,29.479280471801758
54,Female,0.005361374467611313,92595.2109375,496.4375915527344,28.62278938293457
55,Female,0.005809030029922724,92098.7734375,535.0045166015625,27.77437973022461
56,Female,0.006273764651268721,91563.765625,574.4495239257812,26.933744430541992
57,Female,0.006795171182602644,90989.3125,618.2879638671875,26.100631713867188
58,Female,0.007382660638540983,90371.0234375,667.1785888671875,25.27578353881836
59,Female,0.008019533008337021,89703.84375,719.3829345703125,24.46005630493164
60,Female,0.008702823892235756,88984.4609375,774.4160766601562,23.653757095336914
61,Female,0.00939551554620266,88210.046875,828.7788696289062,22.857027053833008
62,Female,0.010065809823572636,87381.265625,879.563232421875,22.069076538085938
63,Female,0.010706065222620964,86501.703125,926.0928955078125,21.288394927978516
64,Female,0.0113544762134552,85575.609375,971.6661987304688,20.513364791870117
65,Female,0.01204089168459177,84603.9453125,1018.7069702148438,19.743215560913086
66,Female,0.012879956513643265,83585.2421875,1076.5743408203125,18.977745056152344
67,Female,0.013820887543261051,82508.6640625,1140.343017578125,18.218843460083008
68,Female,0.014915267936885357,81368.3203125,1213.6302490234375,17.467164993286133
69,Female,0.01618753932416439,80154.6875,1297.5072021484375,16.72406768798828
70,Female,0.01747533679008484,78857.1796875,1378.0557861328125,15.99101734161377
71,Female,0.018963683396577835,77479.125,1469.28955078125,15.266542434692383
72,Female,0.02061554603278637,76009.8359375,1566.9842529296875,14.551983833312988
73,Female,0.02260308712720871,74442.8515625,1682.6383056640625,13.847769737243652
74,Female,0.02464723028242588,72760.2109375,1793.337646484375,13.156448364257812
75,Female,0.02793286368250847,70966.875,1982.30810546875,12.476277351379395
76,Female,0.0309222973883152,68984.5703125,2133.161376953125,11.82042121887207
77,Female,0.03453625738620758,66851.40625,2308.79736328125,11.181645393371582
78,Female,0.03785700723528862,64542.609375,2443.39013671875,10.563745498657227
79,Female,0.04196703061461449,62099.21875,2606.119873046875,9.95971965789795
80,Female,0.04633565992116928,59493.09765625,2756.65185546875,9.374106407165527
81,Female,0.051084406673908234,56736.4453125,2898.34765625,8.805273056030273
82,Female,0.05660809949040413,53838.09765625,3047.67236328125,8.2523832321167
83,Female,0.06288070976734161,50790.42578125,3193.738037109375,7.717563152313232
84,Female,0.070582315325737,47596.6875,3359.484375,7.201862335205078
85,Female,0.079149030148983,44237.203125,3501.331787109375,6.710817813873291
86,Female,0.08787020295858383,40735.87109375,3579.46923828125,6.244650363922119
87,Female,0.09871180355548859,37156.40234375,3667.775390625,5.798062801361084
88,Female,0.11063536256551743,33488.625,3705.026123046875,5.378323078155518
89,Female,0.12368553876876831,29783.599609375,3683.800537109375,4.985177040100098
90,Female,0.13789331912994385,26099.798828125,3598.98779296875,4.618227958679199
91,Female,0.15327244997024536,22500.810546875,3448.75439453125,4.276935577392578
92,Female,0.16981595754623413,19052.056640625,3235.34326171875,3.9606268405914307
93,Female,0.1874929964542389,15816.712890625,2965.52294921875,3.6685056686401367
94,Female,0.2062462717294693,12851.189453125,2650.510009765625,3.3996658325195312
95,Female,0.22599062323570251,10200.6796875,2305.258056640625,3.1531050205230713
96,Female,0.24661274254322052,7895.421875,1947.1116943359375,2.9277427196502686
97,Female,0.26797235012054443,5948.31005859375,1593.982666015625,2.7224366664886475
98,Female,0.2899051606655121,4354.3271484375,1262.3419189453125,2.536001205444336
99,Female,0.3122272789478302,3091.9853515625,965.4021606445312,2.3672242164611816
100,Female,1.0,2126.583251953125,2126.583251953125,2.214885711669922
0,Male,0.005833168979734182,100000.0,583.31689453125,73.54985809326172
1,Male,0.00041591847548261285,99416.6796875,41.34923553466797,72.98067474365234
2,Male,0.0002740231284406036,99375.328125,27.231138229370117,72.01083374023438
3,Male,0.00022409616212826222,99348.09375,22.263526916503906,71.03044128417969
4,Male,0.00017514948558527976,99325.828125,17.396867752075195,70.04624938964844
5,Male,0.00016083884111139923,99308.4296875,15.972652435302734,69.05844116210938
6,Male,0.00014946643204893917,99292.4609375,14.840889930725098,68.06946563720703
7,Male,0.0001372527185594663,99277.6171875,13.62612247467041,67.0795669555664
8,Male,0.00011919617099920288,99263.9921875,11.831888198852539,66.08869934082031
9,Male,9.7952492069453e-05,99252.1640625,9.721997261047363,65.09651947021484
10,Male,8.372891170438379e-05,99242.4453125,8.30946159362793,64.10285186767578
11,Male,9.280726226279512e-05,99234.1328125,9.209648132324219,63.10817337036133
12,Male,0.00014378722698893398,99224.921875,14.267276763916016,62.11398696899414
13,Male,0.0002475788933224976,99210.65625,24.562463760375977,61.12284469604492
14,Male,0.00039240357000380754,99186.09375,38.92097854614258,60.13785934448242
15,Male,0.000555668433662504,99147.171875,55.092952728271484,59.16127014160156
16,Male,0.0007194523932412267,99092.078125,71.29203033447266,58.193885803222656
17,Male,0.0008846521959640086,99020.7890625,87.59896087646484,57.23542022705078
18,Male,0.0010441638296470046,98933.1875,103.30245971679688,56.2856559753418
19,Male,0.0011988714104518294,98829.8828125,118.48432159423828,55.34396743774414
20,Male,0.0013608257286250591,98711.3984375,134.32901000976562,54.4098014831543
21,Male,0.0015267692506313324,98577.0703125,150.5044403076172,53.48325729370117
22,Male,0.0016776453703641891,98426.5625,165.12486267089844,52.56428146362305
23,Male,0.0018053704407066107,98261.4375,177.39830017089844,51.651771545410156
24,Male,0.0019145358819514513,98084.0390625,187.78541564941406,50.744285583496094
25,Male,0.0020147571340203285,97896.25,197.23716735839844,49.840667724609375
26,Male,0.0021163332276046276,97699.015625,206.763671875,48.940277099609375
27,Male,0.002221296774223447,97492.25,216.55921936035156,48.043006896972656
28,Male,0.0023337623570114374,97275.6875,227.01834106445312,47.14885711669922
29,Male,0.0024508037604391575,97048.671875,237.8472442626953,46.257972717285156
30,Male,0.0025690607726573944,96810.828125,248.71290588378906,45.37039566040039
31,Male,0.0026824427768588066,96562.1171875,259.0223388671875,44.485965728759766
32,Male,0.0027886757161468267,96303.09375,268.55810546875,43.60427474975586
33,Male,0.002886680420488119,96034.5390625,277.2210388183594,42.72481155395508
34,Male,0.0029816608875989914,95757.3203125,285.515869140625,41.847049713134766
35,Male,0.0030806928407400846,95471.8046875,294.1192932128906,40.970703125
36,Male,0.003189677372574806,95177.6875,303.58612060546875,40.09576416015625
37,Male,0.0033103979658335447,94874.1015625,314.071044921875,39.22246551513672
38,Male,0.00344606745056808,94560.03125,325.8602600097656,38.351078033447266
39,Male,0.003597174072638154,94234.171875,338.9767150878906,37.48196792602539
40,Male,0.0037721397820860147,93895.1953125,354.185791015625,36.615478515625
41,Male,0.00396381039172411,93541.0078125,370.77880859375,35.752227783203125
42,Male,0.004158393945544958,93170.2265625,387.4385070800781,34.89251708984375
43,Male,0.0043525309301912785,92782.7890625,403.8399658203125,34.0361328125
44,Male,0.004559838678687811,92378.9453125,421.23309326171875,33.182735443115234
45,Male,0.004799496848136187,91957.7109375,441.3507385253906,32.33245086669922
46,Male,0.005089799873530865,91516.359375,465.7999572753906,31.485965728759766
47,Male,0.005430995021015406,91050.5625,494.4951477050781,30.64448356628418
48,Male,0.005818386096507311,90556.0703125,526.8901977539062,29.809091567993164
49,Male,0.0062408652156591415,90029.1796875,561.8599853515625,28.980621337890625
50,Male,0.006679444573819637,89467.3203125,597.5919799804688,28.159481048583984
51,Male,0.007151382975280285,88869.7265625,635.5414428710938,27.345474243164062
52,Male,0.00768975680693984,88234.1875,678.4994506835938,26.53883934020996
53,Male,0.008316120132803917,87555.6875,728.1235961914062,25.740623474121094
54,Male,0.009022964164614677,86827.5625,783.4419555664062,24.952287673950195
55,Male,0.009754044003784657,86044.1171875,839.278076171875,24.174930572509766
56,Male,0.010509870015084743,85204.8359375,895.4917602539062,23.408130645751953
57,Male,0.011349978856742382,84309.34375,956.9092407226562,22.65144920349121
58,Male,0.012284765020012856,83352.4375,1023.965087890625,21.90575408935547
59,Male,0.013286473229527473,82328.46875,1093.85498046875,21.1719913482666
60,Male,0.014341270551085472,81234.6171875,1165.007568359375,20.450345993041992
61,Male,0.015401571989059448,80069.609375,1233.1978759765625,19.74062156677246
62,Male,0.0164368636906147,78836.4140625,1295.8233642578125,19.04159164428711
63,Male,0.017445433884859085,77540.59375,1352.729248046875,18.351449966430664
64,Male,0.018474647775292397,76187.8671875,1407.5440673828125,17.668405532836914
65,Male,0.0195758193731308,74780.3203125,1463.885986328125,16.991558074951172
66,Male,0.020927274599671364,73316.4375,1534.313232421875,16.320838928222656
67,Male,0.02230297029018402,71782.125,1600.95458984375,15.659001350402832
