duration,quartile,n_at_risk,n_died,cdc_expected,qx_actual,ae_ratio,in_model
1,Q1 (Low),4209,10,29.84,0.0023758612497030173,0.3351034422995505,True
1,Q2,4207,15,44.5,0.0035654860946042312,0.33704361941340155,True
1,Q3,4205,32,59.3,0.007609988109393579,0.5396230112516404,True
1,Q4 (High),4208,121,67.17,0.028754752851711026,1.8012737246503558,True
2,Q1 (Low),4076,8,30.78,0.001962708537782139,0.2598953904211347,True
2,Q2,3993,23,45.71,0.00576008014024543,0.5031649136161869,True
2,Q3,3949,32,60.18,0.008103317295517852,0.5317488088736453,True
2,Q4 (High),3868,120,64.05,0.031023784901758014,1.8734268563921994,True
3,Q1 (Low),3873,15,31.1,0.0038729666924864447,0.4823094040076717,True
3,Q2,3774,23,46.65,0.006094329623741388,0.49302485883050784,True
3,Q3,3729,57,60.6,0.015285599356395816,0.9405855917162171,True
3,Q4 (High),3538,122,60.43,0.034482758620689655,2.018795838017827,True
4,Q1 (Low),3611,8,31.09,0.002215452783162559,0.2572957708133513,True
4,Q2,3540,25,47.21,0.007062146892655367,0.5295056006126687,True
4,Q3,3467,55,59.69,0.015863859244303433,0.9214322122756451,True
4,Q4 (High),3240,100,56.47,0.030864197530864196,1.770843017777201,True
5,Q1 (Low),3395,12,31.6,0.0035346097201767305,0.3797830463481127,True
5,Q2,3298,28,46.6,0.008489993935718617,0.6008159645609878,True
5,Q3,3205,57,57.1,0.017784711388455537,0.9981902768247161,True
5,Q4 (High),2953,93,52.38,0.03149339654588554,1.7754739075230932,True
6,Q1 (Low),3136,13,31.42,0.004145408163265306,0.4136904805533824,False
6,Q2,3087,33,46.75,0.010689990281827016,0.7059551200685571,False
6,Q3,2969,70,56.3,0.023576961940047155,1.243448830026877,False
6,Q4 (High),2697,100,50.13,0.03707823507601038,1.994658293513758,False
7,Q1 (Low),2873,15,31.01,0.005221023320570832,0.4837382157081922,False
7,Q2,2853,38,45.98,0.01331931300385559,0.8264567313734751,False
7,Q3,2701,48,52.02,0.017771195853387635,0.9228037288470338,False
7,Q4 (High),2395,80,45.29,0.033402922755741124,1.7663061178059463,False
8,Q1 (Low),2629,11,30.8,0.0041841004184100415,0.3571571090205329,False
8,Q2,2614,42,45.04,0.016067329762815608,0.9324802374488123,False
8,Q3,2467,42,49.79,0.017024726388325903,0.8434860387474611,False
8,Q4 (High),2157,69,41.06,0.031988873435326845,1.6802881443996323,False
9,Q1 (Low),2393,10,30.57,0.004178854993731718,0.327073895962072,False
9,Q2,2382,23,42.44,0.009655751469353484,0.5419742817606811,False
9,Q3,2241,52,47.69,0.02320392681838465,1.0902758217767545,False
9,Q4 (High),1929,64,36.54,0.03317781233799896,1.7516191795953873,False
10,Q1 (Low),2132,17,29.32,0.00797373358348968,0.5798663109397727,False
10,Q2,2153,20,41.34,0.009289363678588018,0.4837848922940878,False
10,Q3,1995,43,43.07,0.02155388471177945,0.9984804051269967,False
10,Q4 (High),1728,50,32.42,0.028935185185185185,1.5422974141817367,False
11,Q1 (Low),1898,7,27.67,0.0036880927291886197,0.2529584140755538,False
11,Q2,1910,29,38.53,0.015183246073298429,0.7526606044861963,False
11,Q3,1760,48,38.68,0.02727272727272727,1.2409080978458749,False
11,Q4 (High),1482,45,26.88,0.030364372469635626,1.6738330624293525,False
12,Q1 (Low),1642,11,26.22,0.006699147381242387,0.4195249905946092,False
12,Q2,1655,26,34.03,0.01570996978851964,0.7641026643494134,False
12,Q3,1520,40,33.15,0.02631578947368421,1.206684378933118,False
12,Q4 (High),1287,38,23.28,0.029526029526029528,1.632627047051399,False
13,Q1 (Low),1419,11,23.56,0.007751937984496124,0.4669253201598976,False
13,Q2,1461,21,30.18,0.014373716632443531,0.6958558868283569,False
13,Q3,1314,30,27.97,0.0228310502283105,1.0726174839133131,False
13,Q4 (High),1107,29,19.81,0.026196928635953028,1.4637302270636345,False
14,Q1 (Low),1225,12,22.22,0.009795918367346938,0.5400924717869292,False
14,Q2,1249,26,27.9,0.020816653322658127,0.9318323761191464,False
14,Q3,1124,27,24.33,0.02402135231316726,1.1095160920434264,False
14,Q4 (High),930,28,17.42,0.030107526881720432,1.6072740156324519,False
15,Q1 (Low),1019,9,19.56,0.008832188420019628,0.46012221138800513,False
15,Q2,1048,15,23.55,0.01431297709923664,0.6368616254401982,False
15,Q3,908,28,20.43,0.030837004405286344,1.3702052000912093,False
15,Q4 (High),760,17,13.08,0.02236842105263158,1.299588055577293,False
