age_band,sex,duration,n_at_risk,actual_deaths,cdc_expected,factor
80-84,Female,2,1548,89.0,81.3,1.0949
80-84,Female,3,1458,99.0,81.7,1.2118
80-84,Female,4,1370,99.0,81.3,1.2178
80-84,Female,5,1246,90.0,77.6,1.1603
80-84,Male,1,1461,103.0,98.7,1.043
80-84,Male,2,1390,126.0,100.0,1.2594
80-84,Male,3,1333,125.0,100.9,1.2383
80-84,Male,4,1230,120.0,98.0,1.2242
80-84,Male,5,1126,117.0,93.2,1.2554
85-89,Female,1,348,24.0,27.5,0.8713
85-89,Female,2,406,33.0,35.0,0.9439
85-89,Female,3,444,43.0,41.6,1.0327
85-89,Female,4,479,48.0,48.2,0.9958
85-89,Female,5,532,48.0,56.2,0.8545
85-89,Male,1,266,28.0,27.7,1.009
85-89,Male,2,300,33.0,34.2,0.9655
85-89,Male,3,321,46.0,39.4,1.1664
85-89,Male,4,340,55.0,44.2,1.2437
85-89,Male,5,371,61.0,49.9,1.2214
85+,Female,1,0,0.0,0.0,
85+,Female,2,0,0.0,0.0,
85+,Female,3,0,0.0,0.0,
85+,Female,4,0,0.0,0.0,
85+,Female,5,0,0.0,0.0,
85+,Male,1,0,0.0,0.0,
85+,Male,2,0,0.0,0.0,
85+,Male,3,0,0.0,0.0,
85+,Male,4,0,0.0,0.0,
85+,Male,5,0,0.0,0.0,
